Date,Service,UsageQuantity,,,,BINS,,
2025-07-28,Amazon Elastic Load Balancing,24.0038010607,,,24,,,
2025-07-28,Amazon Route 53,224,,,224,,,
2025-07-28,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-28,Amazon Virtual Private Cloud,120,,,120,,,
2025-07-28,AmazonCloudWatch,1.9612801569,,,2,,,
2025-07-29,AWS Amplify,0.0000033389,,,0,,,
2025-07-29,AWS Data Transfer,0,,,0,,,
2025-07-29,AWS Key Management Service,192.032258064,,,192,,,
2025-07-29,EC2 - Other,73.9970704839,,,74,,,
2025-07-29,Amazon Elastic Compute Cloud - Compute,48.0034784145,,,48,,,
2025-07-29,Amazon Elastic Container Service for Kubernetes,132.0031291396,,,132,,,
2025-07-29,Amazon Elastic Load Balancing,24.0036579855,,,24,,,
2025-07-29,Amazon Route 53,283,,,283,,,
2025-07-29,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-29,Amazon Virtual Private Cloud,120,,,120,,,
2025-07-29,AmazonCloudWatch,1.9609960727,,,2,,,
2025-07-30,AWS Amplify,0.0000023275,,,0,,,
2025-07-30,AWS Data Transfer,0,,,0,,,
2025-07-30,AWS Key Management Service,192.032258064,,,192,,,
2025-07-30,EC2 - Other,74.0769444731,,,74,,,
2025-07-30,Amazon Elastic Compute Cloud - Compute,48.0011463036,,,48,,,
2025-07-30,Amazon Elastic Container Service for Kubernetes,132.0031426414,,,132,,,
2025-07-30,Amazon Elastic Load Balancing,24.0862295052,,,24,,,
2025-07-30,Amazon Route 53,152,,,152,,,
2025-07-30,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-30,Amazon Virtual Private Cloud,120,,,120,,,
2025-07-30,AmazonCloudWatch,1.9608996126,,,2,,,
2025-07-31,AWS Amplify,0.0000009286,,,0,,,
2025-07-31,AWS Data Transfer,0,,,0,,,
2025-07-31,AWS Key Management Service,192.032258064,,,192,,,
2025-07-31,EC2 - Other,73.1063464814,,,73,,,
2025-07-31,Amazon Elastic Compute Cloud - Compute,47.3441976727,,,47,,,
2025-07-31,Amazon Elastic Container Service for Kubernetes,132.0031125732,,,132,,,
2025-07-31,Amazon Elastic Load Balancing,24.0206917903,,,24,,,
2025-07-31,Amazon Route 53,167,,,167,,,
2025-07-31,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-31,Amazon Virtual Private Cloud,120,,,120,,,
2025-07-31,AmazonCloudWatch,1.9606989588,,,2,,,
2025-08-01,AWS Amplify,0.000565015,,,0,,,
2025-08-01,AWS Data Transfer,0,,,0,,,
2025-08-01,AWS Identity and Access Management Access Analyzer,4,,,4,,,
2025-08-01,AWS Key Management Service,192.032258064,,,192,,,
2025-08-01,EC2 - Other,73.9524516315,,,74,,,
2025-08-01,Amazon Elastic Compute Cloud - Compute,48.003535663,,,48,,,
2025-08-01,Amazon Elastic Container Service for Kubernetes,132.0031473071,,,132,,,
2025-08-01,Amazon Elastic Load Balancing,24.0070353984,,,24,,,
2025-08-01,Amazon Route 53,177,,,177,,,
2025-08-01,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-08-01,Amazon Virtual Private Cloud,120,,,120,,,
2025-08-01,AmazonCloudWatch,1.9611095897,,,2,,,
2025-08-01,Tax,0,,,0,,,
2025-08-02,AWS Amplify,0.0000003111,,,0,,,
2025-08-02,AWS Data Transfer,0,,,0,,,
2025-08-02,AWS Key Management Service,192.032258064,,,192,,,
2025-08-02,EC2 - Other,73.9567619749,,,74,,,
2025-08-02,Amazon Elastic Compute Cloud - Compute,48.0009743453,,,48,,,
2025-08-02,Amazon Elastic Container Service for Kubernetes,132.0031492432,,,132,,,
2025-08-02,Amazon Elastic Load Balancing,24.0685088226,,,24,,,
2025-08-02,Amazon Route 53,237,,,237,,,
2025-08-02,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-08-02,Amazon Virtual Private Cloud,120,,,120,,,
2025-08-02,AmazonCloudWatch,1.961173606,,,2,,,
